Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,Churn_Label,Tenure_Group
15,29,4,"Laptop & Accessory",3,Single,2,0,7.0,143.32,0,Retained,">12 Months (Low Risk)"
7,25,4,Mobile,1,Married,2,0,7.0,129.29,0,Retained,"4-12 Months (Medium Risk)"
27,13,3,"Laptop & Accessory",1,Married,5,0,7.0,168.54,0,Retained,">12 Months (Low Risk)"
20,25,4,Fashion,3,Divorced,7,0,,230.27,0,Retained,">12 Months (Low Risk)"
30,15,4,Others,4,Single,8,0,8.0,322.17,0,Retained,">12 Months (Low Risk)"
7,16,4,"Mobile Phone",2,Divorced,2,0,11.0,152.81,0,Retained,"4-12 Months (Medium Risk)"
1,15,6,"Mobile Phone",5,Divorced,3,0,2.0,149.51,0,Retained,"0-3 Months (High Risk)"
1,11,4,"Mobile Phone",5,Single,3,0,1.0,154.73,1,Churned,"0-3 Months (High Risk)"
11,12,4,"Mobile Phone",3,Married,2,0,4.0,137.02,0,Retained,"4-12 Months (Medium Risk)"
17,7,3,"Laptop & Accessory",1,Married,5,1,2.0,157.43,0,Retained,">12 Months (Low Risk)"
6,26,6,Fashion,3,Married,5,0,,221.1,0,Retained,"4-12 Months (Medium Risk)"
16,20,2,"Laptop & Accessory",5,Married,7,0,1.0,180.38,0,Retained,">12 Months (Low Risk)"
1,7,4,"Mobile Phone",3,Divorced,5,0,3.0,154.09,1,Churned,"0-3 Months (High Risk)"
1,7,5,Fashion,3,Divorced,7,0,,231.08999999999997,1,Churned,"0-3 Months (High Risk)"
6,14,3,"Laptop & Accessory",5,Married,3,0,2.0,163.92,0,Retained,"4-12 Months (Medium Risk)"
10,8,4,"Laptop & Accessory",3,Single,8,0,1.0,193.15,0,Retained,"4-12 Months (Medium Risk)"
8,22,4,Fashion,2,Divorced,3,0,6.0,204.78,1,Churned,"4-12 Months (Medium Risk)"
19,27,4,Grocery,1,Married,2,1,11.0,259.96,0,Retained,">12 Months (Low Risk)"
0,18,1,Mobile,4,Single,2,0,0.0,127.16,1,Churned,"0-3 Months (High Risk)"
1,33,5,"Laptop & Accessory",5,Single,7,0,2.0,191.96,1,Churned,"0-3 Months (High Risk)"
3,22,3,"Laptop & Accessory",3,Married,9,0,2.0,153.01,0,Retained,"0-3 Months (High Risk)"
30,9,1,Mobile,5,Married,5,1,0.0,126.69999999999999,0,Retained,">12 Months (Low Risk)"
5,14,3,Fashion,1,Single,2,0,7.0,189.98,0,Retained,"4-12 Months (Medium Risk)"
9,12,4,Fashion,4,Single,2,0,14.0,205.95,0,Retained,"4-12 Months (Medium Risk)"
